scenario_name,model_kind,loan_id,month_asof,rank,feature,contribution
base,graduation_risk,119,6,1,dpd30_roll6,-0.2677505986135056
base,graduation_risk,119,6,2,dpd30_roll3,-0.17443573032365464
base,graduation_risk,119,6,3,late_count_roll,-0.009232559868370722
base,graduation_risk,119,6,4,term_months,0.00758346784809555
base,graduation_risk,119,6,5,introducer_Dealer_A,-0.00316462009528771
base,graduation_risk,119,6,6,loan_age_month,-0.0025890101166005314
base,graduation_risk,119,6,7,util_proxy,0.0007396517459509515
base,graduation_risk,119,6,8,income,-0.00032610729527008585
base,graduation_risk,2958,6,1,dpd30_roll6,0.21789135775923724
base,graduation_risk,2958,6,2,dpd30_roll3,0.11935076285302691
base,graduation_risk,2958,6,3,late_count_roll,0.011058780501674822
base,graduation_risk,2958,6,4,term_months,0.00758346784809555
base,graduation_risk,2958,6,5,introducer_Dealer_A,-0.00316462009528771
base,graduation_risk,2958,6,6,balance,-0.0005136326626638922
base,graduation_risk,2958,6,7,util_proxy,-0.00045404203886845136
base,graduation_risk,2958,6,8,loan_age_month,0.00045092348410459337
base,graduation_risk,906,6,1,dpd30_roll6,0.37977200988348486
base,graduation_risk,906,6,2,dpd30_roll3,0.2662440094413677
base,graduation_risk,906,6,3,introducer_Dealer_A,0.012272551101237707
base,graduation_risk,906,6,4,late_count_roll,0.011058780501674822
base,graduation_risk,906,6,5,term_months,0.002768567627082502
base,graduation_risk,906,6,6,loan_age_month,-0.00157569891636549
base,graduation_risk,906,6,7,util_proxy,0.0012479340398122085
base,graduation_risk,906,6,8,balance,-0.001126744497697788
base,graduation_risk,472,6,1,dpd30_roll6,-0.2677505986135056
base,graduation_risk,472,6,2,dpd30_roll3,-0.17443573032365464
base,graduation_risk,472,6,3,late_count_roll,-0.009232559868370722
base,graduation_risk,472,6,4,introducer_Dealer_A,-0.00316462009528771
base,graduation_risk,472,6,5,term_months,0.002768567627082502
base,graduation_risk,472,6,6,util_proxy,-0.001689333863681257
base,graduation_risk,472,6,7,loan_age_month,-0.00157569891636549
base,graduation_risk,472,6,8,balance,-0.00127780103676411
base,graduation_risk,1403,6,1,dpd30_roll6,-0.2677505986135056
base,graduation_risk,1403,6,2,dpd30_roll3,-0.17443573032365464
base,graduation_risk,1403,6,3,late_count_roll,-0.009232559868370722
base,graduation_risk,1403,6,4,term_months,-0.006861232814943594
base,graduation_risk,1403,6,5,introducer_Dealer_A,-0.00316462009528771
base,graduation_risk,1403,6,6,util_proxy,-0.0027010621603109166
base,graduation_risk,1403,6,7,income,0.0020009058396412054
base,graduation_risk,1403,6,8,balance,-0.0014155290576775214
base,graduation_risk,1522,6,1,dpd30_roll6,0.37977200988348486
base,graduation_risk,1522,6,2,dpd30_roll3,0.2662440094413677
base,graduation_risk,1522,6,3,late_count_roll,0.011058780501674822
base,graduation_risk,1522,6,4,introducer_Dealer_A,-0.00316462009528771
base,graduation_risk,1522,6,5,term_months,0.002768567627082502
base,graduation_risk,1522,6,6,loan_age_month,-0.00157569891636549
base,graduation_risk,1522,6,7,rate_diff_bps,0.0008812481864119072
base,graduation_risk,1522,6,8,util_proxy,0.0008800421150238739
base,graduation_risk,2831,6,1,dpd30_roll6,-0.2677505986135056
base,graduation_risk,2831,6,2,dpd30_roll3,-0.17443573032365464
