scenario_name,model_kind,loan_id,month_asof,rank,feature,contribution
high_prime,graduation_risk,274,18,1,loan_age_month,107323.38565141604
high_prime,graduation_risk,274,18,2,rate_diff_bps,-73785.06761160067
high_prime,graduation_risk,274,18,3,balance,-73784.85698451914
high_prime,graduation_risk,274,18,4,credit_score,-0.2613162229905947
high_prime,graduation_risk,274,18,5,tenure_months,0.12429551775918961
high_prime,graduation_risk,274,18,6,introducer_Dealer_A,-0.06112143087650322
high_prime,graduation_risk,274,18,7,income,-0.031656726618702495
high_prime,graduation_risk,274,18,8,income_stability,0.018665555943972206
high_prime,graduation_risk,24426,18,1,loan_age_month,107323.37830609837
high_prime,graduation_risk,24426,18,2,balance,-73784.84403899629
high_prime,graduation_risk,24426,18,3,rate_diff_bps,-73784.64531851558
high_prime,graduation_risk,24426,18,4,credit_score,-0.4314182203098181
high_prime,graduation_risk,24426,18,5,introducer_Dealer_A,0.019925933309085184
high_prime,graduation_risk,24426,18,6,income,0.011641134058549848
high_prime,graduation_risk,24426,18,7,prime_eligible,-0.00972486761962083
high_prime,graduation_risk,24426,18,8,tenure_months,-0.00682591482045495
high_prime,graduation_risk,3999,18,1,loan_age_month,107323.37684970498
high_prime,graduation_risk,3999,18,2,balance,-73784.82856839239
high_prime,graduation_risk,3999,18,3,rate_diff_bps,-73784.49487936811
high_prime,graduation_risk,3999,18,4,credit_score,-0.5297718425429794
high_prime,graduation_risk,3999,18,5,introducer_Dealer_A,0.019925933309085184
high_prime,graduation_risk,3999,18,6,tenure_months,-0.018181487668688153
high_prime,graduation_risk,3999,18,7,income_stability,0.017827658489949362
high_prime,graduation_risk,3999,18,8,introducer_Dealer_B,0.013724523995709479
high_prime,graduation_risk,17786,18,1,loan_age_month,107323.37842071746
high_prime,graduation_risk,17786,18,2,rate_diff_bps,-73785.39377528353
high_prime,graduation_risk,17786,18,3,balance,-73784.83373462333
high_prime,graduation_risk,17786,18,4,credit_score,-0.5294484671948655
high_prime,graduation_risk,17786,18,5,introducer_Dealer_A,0.019925933309085184
high_prime,graduation_risk,17786,18,6,income,0.0165846778924309
high_prime,graduation_risk,17786,18,7,income_stability,0.016169010685084122
high_prime,graduation_risk,17786,18,8,tenure_months,0.016106770717419363
high_prime,graduation_risk,4478,18,1,loan_age_month,107323.37830609837
high_prime,graduation_risk,4478,18,2,balance,-73784.85488949533
high_prime,graduation_risk,4478,18,3,rate_diff_bps,-73784.63030901841
high_prime,graduation_risk,4478,18,4,credit_score,-0.5601220972107214
high_prime,graduation_risk,4478,18,5,introducer_Dealer_A,0.019925933309085184
high_prime,graduation_risk,4478,18,6,introducer_Online,0.019610713295740625
high_prime,graduation_risk,4478,18,7,tenure_months,-0.015658516080085515
high_prime,graduation_risk,4478,18,8,dpd30_roll6,0.013273068258461253
high_prime,graduation_risk,23049,18,1,balance,-1485751.9619519669
high_prime,graduation_risk,23049,18,2,rate_diff_bps,743670.2631046375
high_prime,graduation_risk,23049,18,3,loan_age_month,701835.8502387063
high_prime,graduation_risk,23049,18,4,credit_score,-0.5652659828288208
high_prime,graduation_risk,23049,18,5,income_stability,-0.4361123888068824
high_prime,graduation_risk,23049,18,6,introducer_Dealer_A,0.01822091238296878
high_prime,graduation_risk,23049,18,7,paydown_rate1,-0.01567574028404757
high_prime,graduation_risk,23049,18,8,tenure_months,0.010181356399537444
high_prime,graduation_risk,4640,18,1,loan_age_month,107323.38565141604
high_prime,graduation_risk,4640,18,2,rate_diff_bps,-73785.09719294542
high_prime,graduation_risk,4640,18,3,balance,-73784.84496182507
high_prime,graduation_risk,4640,18,4,credit_score,0.4733843178725436
high_prime,graduation_risk,4640,18,5,introducer_Dealer_A,-0.06112143087650322
high_prime,graduation_risk,4640,18,6,tenure_months,0.022960551624438365
high_prime,graduation_risk,4640,18,7,income_stability,0.011629082300175687
high_prime,graduation_risk,4640,18,8,util_proxy,0.009077308035914236
high_prime,graduation_risk,15781,18,1,loan_age_month,107323.37849001915
high_prime,graduation_risk,15781,18,2,rate_diff_bps,-73785.09461717511
high_prime,graduation_risk,15781,18,3,balance,-73784.8437752824
high_prime,graduation_risk,15781,18,4,credit_score,0.3207055788985561
