scenario_name,loan_id,product,month_asof,balance,prob_graduate_3m,prob_graduate_6m,prob_graduate_12m,expected_time_to_graduate_months,risk_decile
base,1,vehicle,6,10080.0,0.0007883865495268569,0.001576151545702239,0.0031498188377094586,12.487402756802297,8
base,4,vehicle,6,18550.0,0.0002393885228867794,0.0004787197389086689,0.000957210305228917,12.496175975817176,3
base,5,vehicle,6,18990.0,0.00044658345631065974,0.0009384874413591625,0.001921569297673201,12.621058454089207,6
base,7,vehicle,6,33810.0,0.00048193596983350323,0.0010823536968085936,0.002282107341611261,12.755456882095478,7
base,10,vehicle,6,36260.0,0.00022261323364795247,0.0004615247781614221,0.0009391766065249688,12.585124886712734,3
base,12,vehicle,6,15630.0,0.00040210093403099053,0.0008040401829008326,0.001607433885185946,12.493576264054223,5
base,13,vehicle,6,32740.0,0.0002375042531366884,0.00047495209800311875,0.00094967861651084,12.496206078964851,3
base,14,vehicle,6,17340.0,0.0012190932763813812,0.0024367003643462446,0.004867463220026885,12.480516523737084,9
base,16,vehicle,6,19010.0,0.0011642681350501867,0.0023271807498100802,0.004648945729377872,12.481393243856724,9
base,22,vehicle,6,41740.0,0.0006227626007326729,0.0012451373682084747,0.00248872436935124,12.490050002909333,7
base,23,vehicle,6,58410.0,0.00015914676713589852,0.0003182682065783072,0.0006364351185052957,12.497457870246926,1
base,24,vehicle,6,17990.0,0.0006273818046156994,0.001290595360111608,0.002615702378139625,12.5651695267039,7
base,26,vehicle,6,30660.0,0.0038241307942634166,0.007917240017186996,0.016053073994227847,12.525375833873616,10
base,27,vehicle,6,21970.0,0.000206414330585154,0.00041278605429443717,0.0008254017162622543,12.496702764282112,2
base,28,vehicle,6,16420.0,0.000437127330488541,0.000874063580674022,0.0017473631742049834,12.493016580131103,6
base,29,vehicle,6,10360.0,0.00035467818919705357,0.0007092305817762151,0.0014179581555343035,12.494333997043269,5
base,31,vehicle,6,13590.0,0.002196903104072287,0.004388979824895891,0.008758696505888437,12.46487215639881,10
base,33,vehicle,6,30710.0,0.0023780886422767565,0.004750521978962988,0.009478476498853364,12.461971634456981,10
base,35,vehicle,6,16700.0,0.0007554288118047128,0.001566606907916508,0.0031869881126335444,12.5774675098162,8
base,36,vehicle,6,14770.0,0.00028475082909448736,0.0005694205751543047,0.0011385169105172,12.495451249212874,4
base,37,vehicle,6,12300.0,0.000322641788373732,0.000645179479023859,0.0012899427014875643,12.494845862716554,4
base,40,vehicle,6,11250.0,0.0002638231494553371,0.000547367886391076,0.001114216126568326,12.59677722481002,4
base,41,vehicle,6,33710.0,0.00032034916698600363,0.0006925526264099673,0.0014365438574269072,12.689619024007932,5
base,42,vehicle,6,29570.0,0.00043675425773884147,0.0008944973566625926,0.0018093547896127563,12.559678178181214,6
base,43,vehicle,6,33670.0,0.002187692745769744,0.004498231380146589,0.009103270157325783,12.539992809172018,10
base,44,vehicle,6,11910.0,0.0009747805346961519,0.0019486108723014808,0.00389342466027131,12.484423011198235,8
base,45,vehicle,6,20510.0,0.0016325359375058905,0.003262406701424533,0.0065141701053635665,12.473903540093183,9
base,46,vehicle,6,25900.0,0.0020423032229723794,0.004080435443490195,0.008144220933571901,12.467346669392665,10
base,47,vehicle,6,20290.0,0.000708053523348439,0.0014156057069049518,0.0028292074742924814,12.488686812198315,7
base,48,vehicle,6,25270.0,0.0003087093118818218,0.0006324043479553187,0.0012794800215421595,12.562260648001207,4
base,49,vehicle,6,53080.0,0.0018365358454370743,0.003669698826962573,0.007325930964444534,12.470639578275284,10
base,52,vehicle,6,27010.0,0.0007278323716256613,0.0014971532498283951,0.003034018605128471,12.56349060698065,8
base,55,vehicle,6,16540.0,0.0006692585567030185,0.0013380692063903168,0.002674347983579544,12.489306880097368,7
base,56,vehicle,6,27030.0,0.00016341900373858742,0.000326811301706392,0.0006535157977858609,12.497389622132962,2
base,61,vehicle,6,18940.0,0.0006405106522142486,0.0012713189560562,0.0025317412926197016,12.468737223419616,7
base,63,vehicle,6,40550.0,0.0005646734065973325,0.0012199822037900284,0.0025293110631700016,12.675269577897902,7
base,64,vehicle,6,67828.19999999992,0.0006078791741158451,0.0012160598188988097,0.0024313110076604467,12.49172804587538,7
